timestamp,user,mode,status
2026-02-26 11:43:03,srijanpoudel,no_camera,Focused
2026-02-26 11:48:28,srijanpoudel,no_camera,Distracted
2026-02-26 12:39:20,srijanpoudel,no_camera,Distracted
2026-02-26 12:39:21,srijanpoudel,no_camera,Focused
2026-02-26 12:49:41,srijanpoudel,no_camera,Distracted
2026-02-26 12:49:41,srijanpoudel,no_camera,Focused
2026-02-26 12:49:54,srijanpoudel,no_camera,Distracted
2026-02-26 12:50:15,srijanpoudel,no_camera,Focused
2026-02-26 12:50:16,srijanpoudel,no_camera,Distracted
2026-02-26 13:09:18,srijanpoudel,no_camera,Distracted
2026-02-26 13:09:19,srijanpoudel,no_camera,Focused
2026-02-26 13:09:33,srijanpoudel,no_camera,Distracted
